KO RN CPD CKO
ko:K00011 rn:R11764 C00272;C21640 CKO1
ko:K00031 rn:R00268 C00026;C05379 CKO2
ko:K00053 rn:R05069 C06006;C14463 CKO3
ko:K00053 rn:R05071 C04181;C06010 CKO4
ko:K00072 rn:R11762 C04244;C21640 CKO5
ko:K00072 rn:R11763 C03684;C21640 CKO6
ko:K04119 rn:R11763 C03684;C21640 CKO6
ko:K00097 rn:R07406 C07335;C11638 CKO7
ko:K00101 rn:R00196 C00125 CKO8
ko:K00102 rn:R00197 C00125 CKO8
ko:K00114 rn:R05062 C00125 CKO8
ko:K00114 rn:R05198 C00125 CKO8
ko:K00114 rn:R05285 C00125 CKO8
ko:K00225 rn:R00640 C00125 CKO8
ko:K00225 rn:R07679 C00125 CKO8
ko:K00368 rn:R00783 C00125 CKO8
ko:K15864 rn:R00783 C00125 CKO8
ko:K00370 rn:R01106 C00125 CKO8
ko:K00371 rn:R01106 C00125 CKO8
ko:K00372 rn:R01106 C00125 CKO8
ko:K00374 rn:R01106 C00125 CKO8
ko:K02567 rn:R01106 C00125 CKO8
ko:K00376 rn:R02804 C00125 CKO8
ko:K00394 rn:R04927 C00125 CKO8
ko:K00395 rn:R04927 C00125 CKO8
ko:K02164 rn:R00294 C00125 CKO8
ko:K02305 rn:R00294 C00125 CKO8
ko:K02448 rn:R00294 C00125 CKO8
ko:K04561 rn:R00294 C00125 CKO8
ko:K04747 rn:R00294 C00125 CKO8
ko:K04748 rn:R00294 C00125 CKO8
ko:K02274 rn:R00081 C00125 CKO8
ko:K02275 rn:R00081 C00125 CKO8
ko:K02276 rn:R00081 C00125 CKO8
ko:K03385 rn:R05712 C00125 CKO8
ko:K04016 rn:R05712 C00125 CKO8
ko:K15876 rn:R05712 C00125 CKO8
ko:K05301 rn:R00528 C00125 CKO8
ko:K05889 rn:R03136 C00125 CKO8
ko:K07255 rn:R01685 C00125 CKO8
ko:K07256 rn:R01685 C00125 CKO8
ko:K08738 rn:R10151 C00125 CKO8
ko:K17222 rn:R10151 C00125 CKO8
ko:K17223 rn:R10151 C00125 CKO8
ko:K17224 rn:R10151 C00125 CKO8
ko:K17225 rn:R10151 C00125 CKO8
ko:K17226 rn:R10151 C00125 CKO8
ko:K17227 rn:R10151 C00125 CKO8
ko:K10535 rn:R10164 C00125 CKO8
ko:K17229 rn:R09499 C00125 CKO8
ko:K17230 rn:R09499 C00125 CKO8
ko:K00103 rn:R00647 C00072;C03289 CKO9
ko:K00103 rn:R03184 C01040;C03289 CKO10
ko:K00103 rn:R10053 C00072;C01040 CKO11
ko:K00104 rn:R00475 C00048;C00160 CKO12
ko:K11472 rn:R00475 C00048;C00160 CKO12
ko:K11473 rn:R00475 C00048;C00160 CKO12
ko:K11517 rn:R00475 C00048;C00160 CKO12
ko:K00105 rn:R00846 C00093;C00111 CKO13
ko:K00111 rn:R00848 C00093;C00111 CKO13
ko:K00112 rn:R00848 C00093;C00111 CKO13
ko:K00113 rn:R00848 C00093;C00111 CKO13
ko:K00106 rn:R01769 C00262;C00385 CKO14
ko:K00106 rn:R02107 C00366;C00385 CKO15
ko:K00106 rn:R07942 C16358;C16359 CKO16
ko:K00106 rn:R07977 C13747;C16356 CKO17
ko:K07409 rn:R07945 C13747;C16356 CKO17
ko:K17683 rn:R07945 C13747;C16356 CKO17
ko:K00106 rn:R07978 C07480;C16360 CKO18
ko:K00106 rn:R07979 C16353;C16355 CKO19
ko:K00106 rn:R08235 C02380;C16613 CKO20
ko:K00108 rn:R01025 C00114;C00576 CKO21
ko:K00499 rn:R07409 C00114;C00576 CKO21
ko:K17755 rn:R01022 C00114;C00576 CKO21
ko:K00109 rn:R03534 C00026;C02630 CKO22
ko:K00115 rn:R00305 C00031;C00198 CKO23
ko:K19813 rn:R00305 C00031;C00198 CKO23
ko:K00116 rn:R00360 C00036;C00149 CKO24
ko:K00116 rn:R00361 C00036;C00149 CKO24
ko:K00116 rn:R01257 C00036;C00149 CKO24
ko:K00117 rn:R06620 C00390;C00399 CKO25
ko:K00156 rn:R03145 C00390;C00399 CKO25
ko:K00329 rn:R11945 C00390;C00399 CKO25
ko:K00330 rn:R11945 C00390;C00399 CKO25
ko:K00331 rn:R11945 C00390;C00399 CKO25
ko:K00332 rn:R11945 C00390;C00399 CKO25
ko:K00333 rn:R11945 C00390;C00399 CKO25
ko:K00334 rn:R11945 C00390;C00399 CKO25
ko:K00335 rn:R11945 C00390;C00399 CKO25
ko:K00336 rn:R11945 C00390;C00399 CKO25
ko:K00337 rn:R11945 C00390;C00399 CKO25
ko:K00338 rn:R11945 C00390;C00399 CKO25
ko:K00339 rn:R11945 C00390;C00399 CKO25
ko:K00340 rn:R11945 C00390;C00399 CKO25
ko:K00341 rn:R11945 C00390;C00399 CKO25
ko:K00342 rn:R11945 C00390;C00399 CKO25
ko:K00343 rn:R11945 C00390;C00399 CKO25
ko:K03878 rn:R11945 C00390;C00399 CKO25
ko:K03879 rn:R11945 C00390;C00399 CKO25
ko:K03880 rn:R11945 C00390;C00399 CKO25
ko:K03881 rn:R11945 C00390;C00399 CKO25
ko:K03882 rn:R11945 C00390;C00399 CKO25
ko:K03883 rn:R11945 C00390;C00399 CKO25
ko:K03884 rn:R11945 C00390;C00399 CKO25
ko:K03934 rn:R11945 C00390;C00399 CKO25
ko:K03935 rn:R11945 C00390;C00399 CKO25
ko:K03936 rn:R11945 C00390;C00399 CKO25
ko:K03940 rn:R11945 C00390;C00399 CKO25
ko:K03941 rn:R11945 C00390;C00399 CKO25
ko:K03942 rn:R11945 C00390;C00399 CKO25
ko:K03943 rn:R11945 C00390;C00399 CKO25
ko:K05572 rn:R11945 C00390;C00399 CKO25
ko:K05573 rn:R11945 C00390;C00399 CKO25
ko:K05574 rn:R11945 C00390;C00399 CKO25
ko:K05575 rn:R11945 C00390;C00399 CKO25
ko:K05576 rn:R11945 C00390;C00399 CKO25
ko:K05577 rn:R11945 C00390;C00399 CKO25
ko:K05578 rn:R11945 C00390;C00399 CKO25
ko:K05579 rn:R11945 C00390;C00399 CKO25
ko:K05580 rn:R11945 C00390;C00399 CKO25
ko:K05581 rn:R11945 C00390;C00399 CKO25
ko:K05582 rn:R11945 C00390;C00399 CKO25
ko:K05583 rn:R11945 C00390;C00399 CKO25
ko:K05584 rn:R11945 C00390;C00399 CKO25
ko:K05585 rn:R11945 C00390;C00399 CKO25
ko:K05586 rn:R11945 C00390;C00399 CKO25
ko:K05587 rn:R11945 C00390;C00399 CKO25
ko:K05588 rn:R11945 C00390;C00399 CKO25
ko:K13378 rn:R11945 C00390;C00399 CKO25
ko:K13380 rn:R11945 C00390;C00399 CKO25
ko:K15863 rn:R11945 C00390;C00399 CKO25
ko:K00425 rn:R11325 C00390;C00399 CKO25
ko:K00426 rn:R11325 C00390;C00399 CKO25
ko:K02297 rn:R11335 C00390;C00399 CKO25
ko:K02298 rn:R11335 C00390;C00399 CKO25
ko:K10944 rn:R00148 C00390;C00399 CKO25
ko:K10945 rn:R00148 C00390;C00399 CKO25
ko:K10946 rn:R00148 C00390;C00399 CKO25
ko:K17893 rn:R09504 C00390;C00399 CKO25
ko:K21673 rn:R07980 C00390;C00399 CKO25
ko:K21674 rn:R07980 C00390;C00399 CKO25
ko:K21675 rn:R07980 C00390;C00399 CKO25
ko:K22473 rn:R09479 C00390;C00399 CKO25
ko:K22474 rn:R09479 C00390;C00399 CKO25
ko:K00125 rn:R10797 C00876;C01080 CKO26
ko:K22516 rn:R10797 C00876;C01080 CKO26
ko:K00440 rn:R03025 C00876;C01080 CKO26
ko:K00441 rn:R03025 C00876;C01080 CKO26
ko:K00442 rn:R03025 C00876;C01080 CKO26
ko:K00443 rn:R03025 C00876;C01080 CKO26
ko:K00125 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K03388 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K03389 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K03390 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K14127 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K22516 rn:R11944 C03576;C04628;C04832;C04832 CKO27
ko:K03388 rn:R11928 C03576;C04628;C04832;C04832 CKO27
ko:K03389 rn:R11928 C03576;C04628;C04832;C04832 CKO27
ko:K03390 rn:R11928 C03576;C04628;C04832;C04832 CKO27
ko:K03388 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K03389 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K03390 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K22480 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K22481 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K22482 rn:R11931 C03576;C04628;C04832;C04832 CKO27
ko:K03388 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K03389 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K03390 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K14126 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K14127 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K14128 rn:R11943 C03576;C04628;C04832;C04832 CKO27
ko:K08264 rn:R04540 C03576;C04628;C04832;C04832 CKO27
